medal;country;athlete_name;games;sport;event;sex
1;Australia;Norma CROKER/Shirley STRICKLAND/Fleur MELLOR/Betty CUTHBERT;Australia / Sweden;Athletics;4x100m relay;Women's
1;Australia;Anthony John MARCHANT/Ian Sterry BROWNE;Australia / Sweden;Cycling Track;2000m tandem;Men's
1;Australia;Jon HENRICKS;Australia / Sweden;Swimming;100m freestyle;Men's
1;Australia;Murray ROSE;Australia / Sweden;Swimming;400m freestyle;Men's
1;Australia;Murray ROSE;Australia / Sweden;Swimming;1500m freestyle;Men's
1;Australia;David THEILE;Australia / Sweden;Swimming;100m backstroke;Men's
1;Australia;Jon HENRICKS/John DEVITT/Kevin O'HALLORAN/Murray ROSE;Australia / Sweden;Swimming;4x200m freestyle relay;Men's
1;Australia;Dawn FRASER;Australia / Sweden;Swimming;100m freestyle;Women's
1;Australia;Lorraine CRAPP;Australia / Sweden;Swimming;400m freestyle;Women's
1;Australia;Lorraine CRAPP/Dawn FRASER/Faith LEECH/Sandra MORGAN;Australia / Sweden;Swimming;4x100m freestyle relay;Women's
2;Australia;Graham GIPSON/Dave LEAN/Kevan GOSPER/Leon GREGORY;Australia / Sweden;Athletics;4x400m relay;Men's
2;Australia;Charles PORTER;Australia / Sweden;Athletics;high jump;Men's
2;Australia;Stuart MACKENZIE;Australia / Sweden;Rowing;single sculls (1x);Men's
2;Australia;John SCOTT/Rolly TASKER;Australia / Sweden;Sailing;sharpie 12m2;Mixed
2;Australia;John DEVITT;Australia / Sweden;Swimming;100m freestyle;Men's
2;Australia;John MONCKTON;Australia / Sweden;Swimming;100m backstroke;Men's
2;Australia;Lorraine CRAPP;Australia / Sweden;Swimming;100m freestyle;Women's
2;Australia;Dawn FRASER;Australia / Sweden;Swimming;400m freestyle;Women's
3;Australia;Hector HOGAN;Australia / Sweden;Athletics;100m;Men's
3;Australia;John LANDY;Australia / Sweden;Athletics;1500m;Men's
3;Australia;Allan LAWRENCE;Australia / Sweden;Athletics;10000m;Men's
3;Australia;Marlene MATHEWS-WILLARD;Australia / Sweden;Athletics;100m;Women's
3;Australia;Marlene MATHEWS-WILLARD;Australia / Sweden;Athletics;200m;Women's
3;Australia;Norma THROWER;Australia / Sweden;Athletics;80m hurdles;Women's
3;Australia;Kevin HOGARTH;Australia / Sweden;Boxing;63.5 - 67kg (welterweight);Men's
3;Australia;Dennis GREEN/Walter BROWN;Australia / Sweden;Canoe Sprint;K-2 10000m;Men's
3;Australia;Richard Francis PLOOG;Australia / Sweden;Cycling Track;sprint individual;Men's
3;Australia;Murray RILEY/Mervyn WOOD;Australia / Sweden;Rowing;double sculls (2x);Men's
3;Australia;Adrian MONGER/Garth MANTON/James HOWDEN/Walter HOWELL/Bryan DOYLE/Michael AIKMAN/Angus BENFIELD/David BOYKETT/Harold HEWITT;Australia / Sweden;Rowing;eight with coxswain (8+);Men's
3;Australia;Alexander STURROCK/Douglas BUXTON/Devereaux MYTTON;Australia / Sweden;Sailing;5.5m;Mixed
3;Australia;Gary CHAPMAN;Australia / Sweden;Swimming;100m freestyle;Men's
3;Australia;Faith LEECH;Australia / Sweden;Swimming;100m freestyle;Women's
1;Australia;Herb ELLIOTT;Italy;Athletics;1500m;Men's
1;Australia;Lawrence MORGAN;Italy;Equestrian Eventing;individual;Mixed
